line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1992        --             e.SetSelection(self.GetIdxFromWindow(self._click_tab))
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1156        --     def GetIdxFromWindow(self, wnd):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1163        --         for indx, page in enumerate(self._pages):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1164        --             if page.window == wnd:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1165        --                 return indx
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1165      --                 return indx
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:396         --     def SetSelection(self, s):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:403         --         self.selection = s
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:404         --         self._commandInt = s
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:404       --         self._commandInt = s
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1993        --             self.GetEventHandler().ProcessEvent(e)
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10358                     --     def GetEventHandler(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10365                     --         return _core_.Window_GetEventHandler(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10365                   --         return _core_.Window_GetEventHandler(*args, **kwargs)
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:4152                      --     def ProcessEvent(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:4154                      --         return _core_.EvtHandler_ProcessEvent(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:4154                    --         return _core_.EvtHandler_ProcessEvent(*args, **kwargs)
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1999        --         self._on_button = False
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2001        --         if self._is_dragging:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2021        --         self.GetParent()._mgr.HideHint()
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10268                     --     def GetParent(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10274                     --         return _core_.Window_GetParent(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10274                   --         return _core_.Window_GetParent(*args, **kwargs)
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/framemanager.py:8137   --     def HideHint(self):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/framemanager.py:8141   --         if self._hint_window:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/framemanager.py:8144   --         self._hint_fadetimer.Stop()
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_misc.py:1326                      --     def Stop(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_misc.py:1328                      --         return _misc_.Timer_Stop(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_misc.py:1328                    --         return _misc_.Timer_Stop(*args, **kwargs)
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/framemanager.py:8145   --         self._last_hint = wx.Rect()
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1260                      --     def __init__(self, *args, **kwargs): 
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1266                      --         _core_.Rect_swiginit(self,_core_.new_Rect(*args, **kwargs))
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1266                    --         _core_.Rect_swiginit(self,_core_.new_Rect(*args, **kwargs))
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1268                      --     __del__ = lambda self : None;
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1268                      --     __del__ = lambda self : None;
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1268                    --     __del__ = lambda self : None;
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/framemanager.py:8145 --         self._last_hint = wx.Rect()
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2023        --         if self.HasCapture():
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10660                     --     def HasCapture(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10666                     --         return _core_.Window_HasCapture(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10666                   --         return _core_.Window_HasCapture(*args, **kwargs)
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2024        --             self.ReleaseMouse()
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10643                     --     def ReleaseMouse(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10649                     --         return _core_.Window_ReleaseMouse(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:10649                   --         return _core_.Window_ReleaseMouse(*args, **kwargs)
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2026        --         if self._hover_button:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2027        --             self._pressed_button = self._hover_button
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2028        --             self._hover_button.cur_state = AUI_BUTTON_STATE_NORMAL
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2030        --         if self._pressed_button:
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:2033        --             button = self.ButtonHitTest(event.GetX(), event.GetY())
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:4438                      --     def GetX(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:4440                      --         return _core_.MouseState_GetX(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:4440                    --         return _core_.MouseState_GetX(*args, **kwargs)
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:4442                      --     def GetY(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:4444                      --         return _core_.MouseState_GetY(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:4444                    --         return _core_.MouseState_GetY(*args, **kwargs)
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1728        --     def ButtonHitTest(self, x, y, state_flags=AUI_BUTTON_STATE_HIDDEN|AUI_BUTTON_STATE_DISABLED):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/lib/agw/aui/auibook.py:1739        --         if not self._rect.Contains((x,y)):
call, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1509                      --     def Contains(*args, **kwargs):
line, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1515                      --         return _core_.Rect_Contains(*args, **kwargs)
return, /Users/paulmc/optlib/wx3.0.0/lib/python2.7/site-packages/wx-3.0-osx_carbon/wx/_core.py:1515                    --         return _core_.Rect_Contains(*args, **kwargs)
